episode,reward,steps,success,collision,final_distance_to_target
1,-97.86802515029908,9,False,True,2.6839098930358887
2,107.692329018116,47,True,False,0.4561230540275574
3,106.71600021004676,27,True,False,0.3236320912837982
4,106.01801043868065,28,True,False,0.2895568907260895
5,104.97940561771392,15,True,False,0.3064535856246948
6,4.896207618713376,20,True,True,0.49184656143188477
7,104.94004624724388,16,True,False,0.3989056646823883
8,103.0861535346508,19,True,False,0.4343104660511017
9,103.41976375818253,11,True,False,0.3041679263114929
10,102.11164790868759,12,True,False,0.3596509099006653
11,104.41943008661269,24,True,False,0.3843044638633728
12,104.32187190651894,25,True,False,0.37252077460289
13,105.74430648446082,24,True,False,0.34014496207237244
14,106.98136417448521,22,True,False,0.1929992288351059
15,103.94400232791901,19,True,False,0.3004053831100464
16,-2.0000000000000013,200,False,False,8.003910064697266
17,102.73111148238182,14,True,False,0.4290405809879303
18,101.9525393128395,20,True,False,0.3368832468986511
19,107.7110290941596,23,True,False,0.12469623237848282
20,108.06617634892464,35,True,False,0.33850905299186707
