model_name,model_type,checkpoint,parameter_count,mean_reward,std_reward,success_rate,collision_rate,mean_steps,mean_final_distance,avg_inference_ms,std_inference_ms
mlp_final,mlp,C:\Users\medog\OneDrive\Desktop\University\Graduation Semester\Grad Project\experiments\checkpoints\custom_dqn_mlp.pt,5254,85.25124116367193,223.04085087962028,0.1,0.65,88.55,6.169683066010475,0.0799656692714962,0.2823424484258674
kan_final,kan,C:\Users\medog\OneDrive\Desktop\University\Graduation Semester\Grad Project\experiments\checkpoints\custom_dqn_kan.pt,6246,54.84947804471917,194.16873761858895,0.1,0.75,75.3,6.586376029253006,0.23903632121810572,0.03077564738401678
mlp_best,mlp,C:\Users\medog\OneDrive\Desktop\University\Graduation Semester\Grad Project\experiments\checkpoints\custom_dqn_mlp_best.pt,5254,71.83629107961058,101.36527884861066,0.7,0.3,10.95,2.8251565862447023,0.07308949782836281,0.011321767021637811
kan_best,kan,C:\Users\medog\OneDrive\Desktop\University\Graduation Semester\Grad Project\experiments\checkpoints\custom_dqn_kan_best.pt,6246,104.36682971243559,81.24604591955561,0.85,0.15,11.35,1.6326372662559152,0.24540440479677073,0.03263934842096696
